campeonato,partida,data,estadio,gols
2023,109,2023-06-22,Estádio São Januário,1
2023,110,2023-06-22,Nabizão,4
2023,111,2023-06-24,Ligga Arena,1
2023,112,2023-06-24,Maracanã,3
2023,113,2023-06-24,Arena Castelão,3
2023,114,2023-06-24,Estádio Raimundo Sampaio,1
2023,115,2023-06-25,Allianz Parque,1
2023,116,2023-06-25,Arena do Grêmio,6
2023,117,2023-06-25,Estádio Raimundo Sampaio,3
2023,118,2023-06-25,Estádio Urbano Caldeira,5
2023,119,2023-06-25,Nabizão,2
2023,120,2023-06-26,Luso-Brasileiro,1
2023,121,2023-07-01,Morumbi,1
2023,122,2023-07-01,Maracanã,2
2023,123,2023-07-01,Itaipava Arena Fonte Nova,3
2023,124,2023-07-01,Estádio Beira-Rio,0
2023,125,2023-07-02,Neo Química Arena,1
2023,126,2023-07-02,Estádio Nilton Santos,2
2023,127,2023-07-02,Mineirão,4
2023,128,2023-07-02,Ligga Arena,4
2023,129,2023-07-02,Arena Pantanal,3
2023,130,2023-07-03,Estádio Hailé Pinheiro - Serrinha,3
2023,131,2023-07-08,Arena Pantanal,2
2023,132,2023-07-08,Estádio São Januário,1
2023,133,2023-07-08,Mineirão,1
2023,134,2023-07-08,Couto Pereira,4
2023,135,2023-07-08,Allianz Parque,2
2023,136,2023-07-09,Estádio Urbano Caldeira,7
2023,137,2023-07-09,Maracanã,2
2023,138,2023-07-09,Nabizão,0
2023,139,2023-07-09,Arena Castelão,1
2023,140,2023-07-09,Arena do Grêmio,2
2023,141,2023-07-15,Estádio Nilton Santos,2
2023,142,2023-07-16,Estádio Raimundo Sampaio,0
2023,143,2023-07-16,Arena Castelão,1
2023,144,2023-07-16,Maracanã,0
2023,145,2023-07-16,Morumbi,5
2023,146,2023-07-16,Ligga Arena,2
2023,147,2023-07-16,Estádio Beira-Rio,0
2023,148,2023-07-17,Estádio Hailé Pinheiro - Serrinha,0
2023,149,2023-09-18,Neo Química Arena,8
2023,150,2023-09-25,Estádio Raimundo Sampaio,1
2023,151,2023-07-22,Allianz Parque,4
2023,152,2023-07-22,Maracanã,2
2023,153,2023-07-22,Arena Pantanal,3
2023,154,2023-07-22,Itaipava Arena Fonte Nova,0
2023,155,2023-07-22,Arena do Grêmio,1
2023,156,2023-07-23,Nabizão,0
2023,157,2023-07-23,Estádio Urbano Caldeira,4
2023,158,2023-07-23,Estádio Raimundo Sampaio,1
2023,159,2023-07-23,Estádio São Januário,2
2023,160,2023-07-24,Couto Pereira,2
2023,161,2023-07-29,Maracanã,1
2023,162,2023-07-29,Ligga Arena,6
2023,163,2023-07-29,Estádio Beira-Rio,3
2023,164,2023-07-29,Neo Química Arena,4
2023,165,2023-07-29,Arena Castelão,3
2023,166,2023-07-29,Estádio Raimundo Sampaio,3
2023,167,2023-07-30,Morumbi,0
2023,168,2023-07-30,Estádio Raimundo Sampaio,5
2023,169,2023-07-30,Estádio Nilton Santos,5
2023,170,2023-07-30,Estádio Hailé Pinheiro - Serrinha,2
2023,171,2023-08-05,Estádio Urbano Caldeira,2
2023,172,2023-08-05,Estádio Hailé Pinheiro - Serrinha,1
2023,173,2023-08-05,Estádio Beira-Rio,4
2023,174,2023-08-05,Maracanã,3
2023,175,2023-08-06,Estádio São Januário,1
2023,176,2023-08-06,Morumbi,2
2023,177,2023-08-06,Couto Pereira,1
2023,178,2023-08-06,Itaipava Arena Fonte Nova,4
2023,179,2023-08-06,Mineirão,0
2023,180,2023-08-06,Arena Pantanal,3
2023,181,2023-08-12,Estádio Nilton Santos,4
2023,182,2023-08-13,Mineirão,1
2023,183,2023-08-13,Estádio Raimundo Sampaio,1
2023,184,2023-08-13,Neo Química Arena,4
2023,185,2023-08-13,Arena do Grêmio,3
2023,186,2023-08-13,Arena Castelão,4
2023,187,2023-08-13,Maracanã,2
2023,188,2023-08-14,Allianz Parque,1
2023,189,2023-08-14,Nabizão,2
2023,190,2023-08-15,Ligga Arena,2
2023,191,2023-08-19,Morumbi,0
2023,192,2023-08-19,Estádio Beira-Rio,1
2023,193,2023-08-19,Arena Pantanal,2
2023,194,2023-08-19,Maracanã,4
2023,195,2023-08-19,Mineirão,2
2023,196,2023-08-20,Maracanã,1
2023,197,2023-08-20,Couto Pereira,5
2023,198,2023-08-20,Itaipava Arena Fonte Nova,4
2023,199,2023-08-20,Estádio Urbano Caldeira,3
2023,200,2023-08-21,Estádio Hailé Pinheiro - Serrinha,2
2023,201,2023-08-26,Maracanã,0
2023,202,2023-08-26,Neo Química Arena,2
2023,203,2023-08-27,Nabizão,2
2023,204,2023-08-27,Estádio Nilton Santos,3
2023,205,2023-08-27,Arena MRV,2
2023,206,2023-08-27,Estádio Raimundo Sampaio,3
2023,207,2023-08-27,Allianz Parque,1
2023,208,2023-08-27,Estádio Presidente Vargas,4
2023,209,2023-08-27,Ligga Arena,4
2023,210,2023-08-27,Arena do Grêmio,3
2023,211,2023-09-02,Estádio Hailé Pinheiro - Serrinha,0
2023,212,2023-09-02,Ligga Arena,2
2023,213,2023-09-02,Estádio Nilton Santos,3
2023,214,2023-09-03,Arena do Grêmio,2
2023,215,2023-09-03,Neo Química Arena,0
2023,216,2023-09-03,Estádio Municipal General Raulino de Oliveira,1
2023,217,2023-09-03,Itaipava Arena Fonte Nova,2
2023,218,2023-09-03,Mineirão,0
2023,219,2023-09-03,Estádio Raimundo Sampaio,2
2023,220,2023-09-27,Morumbi,3
2023,221,2023-09-13,Kléber Andrade,3
2023,222,2023-09-13,Estádio Beira-Rio,3
2023,223,2023-09-14,Estádio Urbano Caldeira,3
2023,224,2023-09-14,Arena Castelão,3
2023,225,2023-09-14,Couto Pereira,6
2023,226,2023-09-14,Nabizão,2
2023,227,2023-09-15,Arena Pantanal,4
2023,228,2023-09-15,Allianz Parque,1
2023,229,2023-09-16,Estádio Nilton Santos,6
2023,230,2023-09-16,Arena MRV,1
2023,231,2023-09-18,Itaipava Arena Fonte Nova,3
2023,232,2023-09-19,Estádio Raimundo Sampaio,2
2023,233,2023-09-20,Estádio Hailé Pinheiro - Serrinha,0
2023,234,2023-09-20,Maracanã,1
2023,235,2023-09-20,Morumbi,3
2023,236,2023-09-21,Estádio São Januário,6
2023,237,2023-09-21,Ligga Arena,3
2023,238,2023-09-21,Arena do Grêmio,1
2023,239,2023-09-22,Neo Química Arena,1
2023,240,2023-09-23,Arena MRV,1
2023,241,2023-09-30,Maracanã,1
2023,242,2023-09-30,Arena Castelão,2
2023,243,2023-09-30,Morumbi,3
2023,244,2023-09-30,Arena Pantanal,3
2023,245,2023-09-30,Estádio Beira-Rio,2
2023,246,2023-10-01,Mineirão,2
2023,247,2023-10-01,Couto Pereira,2
2023,248,2023-10-01,Estádio Urbano Caldeira,5
2023,249,2023-10-01,Nabizão,3
2023,250,2023-10-02,Estádio Nilton Santos,2
2023,251,2023-10-07,Estádio Hailé Pinheiro - Serrinha,10
2023,252,2023-10-07,Estádio São Januário,0
2023,253,2023-10-07,Neo Química Arena,2
2023,254,2023-10-08,Estádio Beira-Rio,5
2023,255,2023-10-08,Arena Barueri,3
2023,256,2023-10-08,Maracanã,2
2023,257,2023-10-08,Ligga Arena,2
2023,258,2023-10-08,Arena MRV,3
2023,259,2023-10-08,Arena Castelão,5
2023,260,2023-10-14,Arena Pantanal,0
2023,261,2023-10-18,Arena do Grêmio,3
2023,262,2023-10-18,Couto Pereira,3
2023,263,2023-10-18,Estádio Raimundo Sampaio,3
2023,264,2023-10-18,Estádio Hailé Pinheiro - Serrinha,2
2023,265,2023-10-18,Itaipava Arena Fonte Nova,1
2023,266,2023-10-18,Estádio São Januário,1
2023,267,2023-10-19,Allianz Parque,2
2023,268,2023-10-19,Mineirão,2
2023,269,2023-10-19,Estádio Urbano Caldeira,4
2023,270,2023-10-19,Maracanã,6
2023,271,2023-10-21,Arena Pantanal,2
2023,272,2023-10-21,Morumbi,3
2023,273,2023-10-21,Itaipava Arena Fonte Nova,2
2023,274,2023-10-22,Estádio Nilton Santos,2
2023,275,2023-10-22,Arena MRV,1
2023,276,2023-10-22,Maracanã,1
2023,277,2023-10-22,Estádio Beira-Rio,8
2023,278,2023-10-22,Nabizão,1
2023,279,2023-10-22,Couto Pereira,2
2023,280,2023-10-22,Neo Química Arena,2
2023,281,2023-10-25,Nabizão,3
2023,282,2023-10-25,Ligga Arena,5
2023,283,2023-10-25,Estádio Municipal General Raulino de Oliveira,8
2023,284,2023-10-25,Mineirão,3
2023,285,2023-10-25,Allianz Parque,5
2023,286,2023-10-25,Arena do Grêmio,5
2023,287,2023-10-25,Arena Pantanal,1
2023,288,2023-10-26,Estádio São Januário,3
2023,289,2023-10-26,Estádio Urbano Caldeira,3
2023,290,2023-11-23,Arena Castelão,4
2023,291,2023-10-28,Allianz Parque,1
2023,292,2023-10-28,Estádio Raimundo Sampaio,7
2023,293,2023-10-28,Arena MRV,2
2023,294,2023-10-29,Ligga Arena,2
2023,295,2023-10-29,Estádio Hailé Pinheiro - Serrinha,2
2023,296,2023-10-29,Estádio Beira-Rio,7
2023,297,2023-10-29,Neo Química Arena,2
2023,298,2023-10-29,Estádio Nilton Santos,1
2023,299,2023-11-18,Arena Castelão,1
2023,300,2023-11-23,Maracanã,1
2023,301,2023-10-31,Itaipava Arena Fonte Nova,1
2023,302,2023-11-01,Estádio Beira-Rio,2
2023,303,2023-11-01,Neo Química Arena,1
2023,304,2023-11-01,Couto Pereira,3
2023,305,2023-11-01,Arena BRB Mané Garrincha,3
2023,306,2023-11-01,Arena MRV,4
2023,307,2023-11-01,Estádio Nilton Santos,7
2023,308,2023-11-02,Arena Pantanal,2
2023,309,2023-11-02,Estádio Hailé Pinheiro - Serrinha,2
2023,310,2023-11-02,Morumbi,1
2023,311,2023-11-04,Arena do Grêmio,1
2023,312,2023-11-04,Estádio Municipal Parque do Sabiá,2
2023,313,2023-11-04,Arena Barueri,1
2023,314,2023-11-05,Mineirão,3
2023,315,2023-11-05,Nabizão,1
2023,316,2023-11-05,Arena Castelão,2
2023,317,2023-11-05,Couto Pereira,1
2023,318,2023-11-06,Estádio São Januário,1
2023,319,2023-11-06,Estádio Urbano Caldeira,0
2023,320,2023-11-22,Maracanã,1
2023,321,2023-11-08,Estádio Beira-Rio,0
2023,322,2023-11-08,Estádio Raimundo Sampaio,3
2023,323,2023-11-08,Ligga Arena,2
2023,324,2023-11-08,Estádio Urbano Caldeira,1
2023,325,2023-11-08,Maracanã,3
2023,326,2023-11-09,Estádio Hailé Pinheiro - Serrinha,1
2023,327,2023-11-09,Neo Química Arena,2
2023,328,2023-11-09,Itaipava Arena Fonte Nova,3
2023,329,2023-11-09,Estádio São Januário,7
2023,330,2023-11-22,Mineirão,4
2023,331,2023-11-11,Vila Capanema,1
2023,332,2023-11-11,Maracanã,2
2023,333,2023-11-11,Arena Barueri,3
2023,334,2023-11-12,Nabizão,4
2023,335,2023-11-12,Arena do Grêmio,1
2023,336,2023-11-12,Estádio Urbano Caldeira,0
2023,337,2023-11-12,Estádio São Januário,3
2023,338,2023-11-12,Arena MRV,3
2023,339,2023-11-12,Itaipava Arena Fonte Nova,2
2023,340,2023-11-12,Arena Pantanal,3
2023,341,2023-11-24,Neo Química Arena,6
2023,342,2023-11-25,Ligga Arena,0
2023,343,2023-11-25,Maracanã,3
2023,344,2023-11-26,Arena MRV,3
2023,345,2023-11-26,Estádio Nilton Santos,2
2023,346,2023-11-26,Estádio Municipal Parque do Sabiá,3
2023,347,2023-11-26,Morumbi,0
2023,348,2023-11-26,Estádio Beira-Rio,1
2023,349,2023-11-26,Arena Castelão,4
2023,350,2023-11-27,Estádio Hailé Pinheiro - Serrinha,1
2023,351,2023-11-28,Estádio São Januário,6
2023,352,2023-11-29,Estádio Urbano Caldeira,3
2023,353,2023-11-29,Maracanã,3
2023,354,2023-11-29,Itaipava Arena Fonte Nova,1
2023,355,2023-11-29,Arena Pantanal,2
2023,356,2023-11-29,Couto Pereira,2
2023,357,2023-11-29,Allianz Parque,4
2023,358,2023-11-30,Arena do Grêmio,3
2023,359,2023-11-30,Mineirão,2
2023,360,2023-11-30,Nabizão,3
2023,361,2023-12-02,Neo Química Arena,3
2023,362,2023-12-02,Mineirão,3
2023,363,2023-12-03,Maracanã,3
2023,364,2023-12-03,Allianz Parque,1
2023,365,2023-12-03,Estádio Nilton Santos,0
2023,366,2023-12-03,Estádio Raimundo Sampaio,5
2023,367,2023-12-03,Arena Castelão,1
2023,368,2023-12-03,Nabizão,1
2023,369,2023-12-03,Arena do Grêmio,1
2023,370,2023-12-03,Ligga Arena,3
2023,371,2023-12-06,Estádio Hailé Pinheiro - Serrinha,1
2023,372,2023-12-06,Estádio Beira-Rio,4
2023,373,2023-12-06,Couto Pereira,2
2023,374,2023-12-06,Maracanã,5
2023,375,2023-12-06,Mineirão,2
2023,376,2023-12-06,Itaipava Arena Fonte Nova,5
2023,377,2023-12-06,Arena Pantanal,3
2023,378,2023-12-06,Estádio Urbano Caldeira,3
2023,379,2023-12-06,Morumbi,1
2023,380,2023-12-06,Estádio São Januário,3
2022,1,2022-04-09,Maracanã,0
2022,2,2022-04-09,Estádio Antônio Accioly,2
2022,3,2022-04-09,Allianz Parque,5
2022,4,2022-04-10,Couto Pereira,3
2022,5,2022-04-10,Estádio Nilton Santos,4
2022,6,2022-04-10,Mineirão,2
2022,7,2022-04-10,Arena Castelão,1
2022,8,2022-04-10,Ressacada,1
2022,9,2022-04-10,Morumbi,4
2022,10,2022-04-11,Alfredo Jaconi,4
2022,11,2022-04-16,Estádio da Serrinha,2
2022,12,2022-04-16,Estádio Raimundo Sampaio,5
2022,13,2022-04-16,Neo Química Arena,3
2022,14,2022-04-16,Arena Pantanal,1
2022,15,2022-04-17,Estádio Urbano Caldeira,3
2022,16,2022-04-17,Maracanã,4
2022,17,2022-04-17,Estádio Joaquim Américo Guimarães,1
2022,18,2022-04-17,Estádio José Pinheiro Borda,3
2022,19,2022-04-17,Nabizão,4
2022,20,2022-04-17,Arena Castelão,4
2022,21,2022-04-20,Maracanã,0
2022,22,2022-04-30,Arena Castelão,1
2022,23,2022-04-30,Estádio Raimundo Sampaio,1
2022,24,2022-04-30,Estádio da Serrinha,4
2022,25,2022-04-30,Arena Pantanal,2
2022,26,2022-05-01,Estádio Nilton Santos,2
2022,27,2022-05-01,Neo Química Arena,1
2022,28,2022-05-01,Couto Pereira,5
2022,29,2022-05-01,Estádio José Pinheiro Borda,0
2022,30,2022-05-02,Morumbi,3
2022,31,2022-04-23,Nabizão,2
2022,32,2022-04-23,Estádio Joaquim Américo Guimarães,1
2022,33,2022-04-23,Arena Barueri,3
2022,34,2022-04-23,Maracanã,1
2022,35,2022-04-23,Estádio Raimundo Sampaio,4
2022,36,2022-04-24,Estádio Urbano Caldeira,3
2022,37,2022-04-24,Alfredo Jaconi,1
2022,38,2022-04-24,Estádio Antônio Accioly,2
2022,39,2022-04-25,Ressacada,5
2022,40,2022-06-01,Arena Castelão,1
2022,41,2022-05-07,Estádio Raimundo Sampaio,3
2022,42,2022-05-07,Estádio Joaquim Américo Guimarães,1
2022,43,2022-05-08,Estádio Nacional de Brasília,1
2022,44,2022-05-08,Allianz Parque,2
2022,45,2022-05-08,Estádio Antônio Accioly,1
2022,46,2022-05-08,Nabizão,1
2022,47,2022-05-08,Estádio Urbano Caldeira,5
2022,48,2022-05-08,Alfredo Jaconi,2
2022,49,2022-05-08,Arena Castelão,2
2022,50,2022-05-09,Ressacada,3
2022,51,2022-05-11,Nabizão,2
2022,52,2022-05-21,Estádio Antônio Accioly,2
2022,53,2022-05-21,Maracanã,1
2022,54,2022-05-21,Arena Barueri,0
2022,55,2022-05-21,Alfredo Jaconi,3
2022,56,2022-05-21,Arena Pantanal,2
2022,57,2022-05-21,Estádio Raimundo Sampaio,2
2022,58,2022-05-22,Neo Química Arena,2
2022,59,2022-05-22,Arena Castelão,1
2022,60,2022-05-22,Estádio Joaquim Américo Guimarães,3
2022,61,2022-05-14,Allianz Parque,2
2022,62,2022-05-14,Arena Castelão,4
2022,63,2022-05-14,Estádio José Pinheiro Borda,4
2022,64,2022-05-14,Estádio Raimundo Sampaio,2
2022,65,2022-05-14,Estádio Municipal General Raulino de Oliveira,3
2022,66,2022-05-15,Morumbi,3
2022,67,2022-05-15,Couto Pereira,1
2022,68,2022-05-15,Estádio Nilton Santos,4
2022,69,2022-05-15,Ressacada,3
2022,70,2022-05-15,Estádio da Serrinha,1
2022,71,2022-05-28,Estádio da Serrinha,2
2022,72,2022-05-28,Morumbi,4
2022,73,2022-05-28,Arena Castelão,2
2022,74,2022-05-29,Couto Pereira,1
2022,75,2022-05-29,Estádio Urbano Caldeira,1
2022,76,2022-05-29,Arena Pantanal,1
2022,77,2022-05-29,Neo Química Arena,2
2022,78,2022-05-29,Maracanã,3
2022,79,2022-05-29,Mineirão,3
2022,80,2022-05-30,Estádio José Pinheiro Borda,2
2022,81,2022-06-04,Estádio Raimundo Sampaio,3
2022,82,2022-06-04,Estádio Joaquim Américo Guimarães,4
2022,83,2022-06-04,Arena Castelão,2
2022,84,2022-06-04,Ressacada,2
2022,85,2022-06-04,Estádio do Governo do Estado de Goiás (Serra Dourada),1
2022,86,2022-06-05,Alfredo Jaconi,1
2022,87,2022-06-05,Maracanã,3
2022,88,2022-06-05,Allianz Parque,0
2022,89,2022-06-05,Nabizão,2
2022,90,2022-06-06,Estádio Nilton Santos,3
2022,91,2022-06-07,Arena Pantanal,1
2022,92,2022-06-08,Estádio Raimundo Sampaio,2
2022,93,2022-06-08,Alfredo Jaconi,4
2022,94,2022-06-08,Estádio do Governo do Estado de Goiás (Serra Dourada),3
2022,95,2022-06-08,Nabizão,1
2022,96,2022-06-08,Maracanã,8
2022,97,2022-06-08,Estádio Urbano Caldeira,2
2022,98,2022-06-09,Allianz Parque,4
2022,99,2022-06-09,Couto Pereira,2
2022,100,2022-06-09,Arena Castelão,2
2022,101,2022-06-11,Neo Química Arena,2
2022,102,2022-06-11,Mineirão,2
2022,103,2022-06-11,Maracanã,2
2022,104,2022-06-11,Arena Pantanal,2
2022,105,2022-06-11,Estádio José Pinheiro Borda,4
2022,106,2022-06-12,Estádio da Serrinha,2
2022,107,2022-06-12,Morumbi,1
2022,108,2022-06-12,Couto Pereira,2
2022,109,2022-06-12,Arena Castelão,0
2022,110,2022-06-13,Estádio Nilton Santos,1
2022,111,2022-06-14,Alfredo Jaconi,3
2022,112,2022-06-15,Arena Castelão,0
2022,113,2022-06-15,Nabizão,6
2022,114,2022-06-15,Estádio da Serrinha,3
2022,115,2022-06-15,Maracanã,2
2022,116,2022-06-15,Estádio Joaquim Américo Guimarães,2
2022,117,2022-06-15,Estádio Raimundo Sampaio,0
2022,118,2022-06-16,Estádio Nilton Santos,1
2022,119,2022-06-16,Allianz Parque,6
2022,120,2022-06-16,Ressacada,5
2022,121,2022-06-18,Arena Pantanal,0
2022,122,2022-06-18,Estádio Urbano Caldeira,4
2022,123,2022-06-19,Mineirão,2
2022,124,2022-06-19,Couto Pereira,1
2022,125,2022-06-19,Neo Química Arena,1
2022,126,2022-06-19,Estádio José Pinheiro Borda,5
2022,127,2022-06-19,Arena Castelão,1
2022,128,2022-06-19,Estádio Antônio Accioly,4
2022,129,2022-06-19,Maracanã,2
2022,130,2022-06-20,Morumbi,3
2022,131,2022-06-24,Estádio José Pinheiro Borda,3
2022,132,2022-06-25,Estádio Joaquim Américo Guimarães,6
2022,133,2022-06-25,Maracanã,3
2022,134,2022-06-25,Neo Química Arena,0
2022,135,2022-06-25,Mineirão,5
2022,136,2022-06-26,Ressacada,4
2022,137,2022-06-26,Estádio Nilton Santos,1
2022,138,2022-06-26,Estádio da Serrinha,1
2022,139,2022-06-26,Arena Castelão,2
2022,140,2022-06-26,Morumbi,0
2022,141,2022-07-02,Alfredo Jaconi,3
2022,142,2022-07-02,Maracanã,4
2022,143,2022-07-02,Estádio Urbano Caldeira,3
2022,144,2022-07-02,Arena Castelão,2
2022,145,2022-07-02,Allianz Parque,2
2022,146,2022-07-03,Ressacada,3
2022,147,2022-07-03,Estádio Antônio Accioly,3
2022,148,2022-07-03,Estádio Raimundo Sampaio,1
2022,149,2022-07-03,Couto Pereira,3
2022,150,2022-07-04,Nabizão,1
2022,151,2022-07-09,Nabizão,4
2022,152,2022-07-09,Maracanã,3
2022,153,2022-07-09,Estádio da Serrinha,3
2022,154,2022-07-10,Couto Pereira,4
2022,155,2022-07-10,Neo Química Arena,1
2022,156,2022-07-10,Estádio Urbano Caldeira,1
2022,157,2022-07-10,Arena Castelão,0
2022,158,2022-07-10,Mineirão,0
2022,159,2022-07-10,Arena Pantanal,2
2022,160,2022-07-11,Estádio José Pinheiro Borda,1
2022,161,2022-07-16,Estádio Joaquim Américo Guimarães,0
2022,162,2022-07-16,Estádio Nacional de Brasília,2
2022,163,2022-07-16,Ressacada,1
2022,164,2022-07-16,Arena Castelão,4
2022,165,2022-07-17,Alfredo Jaconi,0
2022,166,2022-07-17,Morumbi,4
2022,167,2022-07-17,Estádio Nilton Santos,1
2022,168,2022-07-17,Estádio Antônio Accioly,1
2022,169,2022-07-17,Estádio Raimundo Sampaio,3
2022,170,2022-07-18,Allianz Parque,1
2022,171,2022-07-19,Arena Castelão,1
2022,172,2022-07-20,Nabizão,3
2022,173,2022-07-20,Estádio da Serrinha,5
2022,174,2022-07-20,Estádio Joaquim Américo Guimarães,5
2022,175,2022-07-20,Estádio Nacional de Brasília,4
2022,176,2022-07-20,Estádio José Pinheiro Borda,6
2022,177,2022-07-20,Estádio Urbano Caldeira,2
2022,178,2022-07-20,Neo Química Arena,4
2022,179,2022-07-21,Arena Pantanal,2
2022,180,2022-07-21,Estádio Raimundo Sampaio,1
2022,181,2022-07-23,Morumbi,6
2022,182,2022-07-23,Estádio Nilton Santos,2
2022,183,2022-07-24,Ressacada,3
2022,184,2022-07-24,Estádio Municipal General Raulino de Oliveira,3
2022,185,2022-07-24,Allianz Parque,3
2022,186,2022-07-24,Alfredo Jaconi,1
2022,187,2022-07-24,Mineirão,3
2022,188,2022-07-24,Estádio Antônio Accioly,1
2022,189,2022-07-24,Arena Castelão,0
2022,190,2022-07-25,Couto Pereira,1
2022,191,2022-07-30,Estádio da Serrinha,1
2022,192,2022-07-30,Arena Castelão,3
2022,193,2022-07-30,Neo Química Arena,1
2022,194,2022-07-30,Maracanã,5
2022,195,2022-07-31,Estádio Joaquim Américo Guimarães,1
2022,196,2022-07-31,Estádio José Pinheiro Borda,3
2022,197,2022-07-31,Arena Pantanal,1
